index,Variable,Value
0,altitude,40.0
1,wavelength,120.7
2,time,12.0
3,solar zenith angle,45.0
4,Earth-Sun distance,0.9961174644385148
5,temperature,250.35
6,O2+hv->O+O,3.7283790783189083e-10
7,HNO4+hv->HO2+NO2,0.00018734289243072113
8,O3+hv->O2+O(1D),0.001502389442142904
9,O3+hv->O2+O(3P),0.0006613513510856835
10,NO3-(aq)+hv->NO2(aq)+O-,2.1187266320734843e-07
11,NO3-(aq)+hv->NO2-(aq)+O(3P),9.276961294724862e-08
12,NOCl+hv->NO+Cl,0.005567812813611155
13,CH3Cl+hv->Products,1.9715991650317348e-07
14,CH3CCl3+hv->Products,1.1125962888339628e-05
15,CCl2O+hv->Products,9.185544880121231e-06
16,CClFO+hv->Products,4.306479441618506e-06
17,CH3OOH+hv->CH3O+OH,2.672534622969686e-05
18,HOCH2OOH+hv->CH2(OH)O+OH,2.5711005883380512e-05
19,HO2+hv->OH+O,0.00011047491538445405
20,H2O2+hv->OH+OH,4.436778186816495e-05
21,NO3+hv->NO+O2,0.02439703444359538
22,NO3+hv->NO2+O(3P),0.19179127081640795
23,HNO3+hv->OH+NO2,6.720213085278734e-05
24,N2O+hv->N2+O(1D),3.6787087780874846e-07
25,N2O5+hv->NO2+NO3,0.00031016165445446554
26,NO2+hv->NO+O(3P),0.01231759300748257
27,C2H5CHO+hv->C2H5+HCO,0.000140790549271434
28,CH2CHCHO+hv->Products,6.1005778536474895e-05
29,CH3CHO+hv->CH3+HCO,0.00012052777656293237
30,CH2O+hv->H+HCO,8.863411421615458e-05
31,CH2O+hv->H2+CO,0.00011549236866896908
32,CH3COCH2CH3+hv->CH3CO+CH2CH3,7.887103104317884e-05
33,HNO2+hv->OH+NO,0.00223045731076548
34,CHBr3+hv->Products,0.00038901777899996807
35,CF2Br2+hv->Products,0.0001315201984449355
36,CF2BrCl+hv->Products,5.9524626118298445e-05
37,CF3Br+hv->Products,5.710501416987488e-06
38,CF2BrCF2Br+hv->Products,5.3528301925875956e-05
39,I2+hv->I+I,0.1288534301826141
40,IO+hv->I+O,0.23414575091054682
41,IOH+hv->I+OH,0.011243116661398569
42,perfluoro-1-iodopropane+hv->Products,0.0006307921188672395
43,CH3OCl+hv->CH3O+Cl,0.00015870660879439992
44,CHCl3+hv->Products,4.528093668215781e-06
45,Cl2+hv->Cl+Cl,0.003543203359157831
46,CCl4+hv->Products,1.7703234399510767e-05
47,ClO+hv->Cl+O(1D),5.1152337990267536e-05
48,ClO+hv->Cl+O(3P),0.0015252074577306882
49,ClOO+hv->Products,0.0006740461326031768
50,ClOOCl+hv->Cl+ClOO,0.004109789990332201
51,HCl+hv->H+Cl,2.9434231363535957e-07
52,HOCl+hv->HO+Cl,0.0005134221758620865
53,ClNO2+hv->Cl+NO2,0.0011987638221213368
54,ClONO+hv->Cl+NO2,0.008524341101742538
55,ClONO2+hv->Cl+NO3,0.00021229044389010598
56,ClONO2+hv->ClO+NO2,0.00011867286240927261
57,OClO+hv->Products,0.11350516127321963
58,Br2+hv->Br+Br,0.03767522231099119
59,BrO+hv->Br+O,0.057807825953493534
60,HOBr+hv->OH+Br,0.0032884011241910865
61,BrNO+hv->Br+NO,0.0315132435761316
62,BrONO+hv->Br+NO2,0.02095231012632854
63,BrONO+hv->BrO+NO,0.02095231012632854
64,BrNO2+hv->Br+NO2,0.007689000511340985
65,BrONO2+hv->BrO+NO2,0.0003644241637986195
66,BrONO2+hv->Br+NO3,0.00206507026152551
67,BrCl+hv->Br+Cl,0.01334916177775431
68,CH3Br+hv->Products,3.1061176463000875e-05
69,CH3ONO2+hv->CH3O+NO2,0.00017451824982653825
70,CH3(OONO2)+hv->CH3OO+NO2,0.00015684098654890154
71,C2H5ONO2+hv->C2H5O+NO2,0.00019670068768344105
72,nC3H7ONO2+hv->C3H7O+NO2,0.00023169749259516323
73,1-C4H9ONO2+hv->1-C4H9O+NO2,0.0002428051176863168
74,2-C4H9ONO2+hv->2-C4H9O+NO2,2.19304034405159e-05
75,nitro_acetone+hv->Products,0.000110652880985202
76,nitro_ethanol+hv->Products,3.722122822520087e-06
77,CH3CH2ONO2+hv->CH3CH2O+NO2,1.2818604347594041e-05
78,CH3CHONO2CH3+hv->CH3CHOCH3+NO2,1.818882766594734e-05
79,CH3COCH3+hv->CH3CO+CH3,4.58796138435151e-05
80,CCl3F+hv->Products,7.593297043758127e-06
81,CCl2F2+hv->Products,9.444975314666084e-07
82,CFC-113+hv->Products,1.3209847480499613e-06
83,CFC-114+hv->Products,8.186523405918444e-08
84,CFC-115+hv->Products,3.640300323714234e-09
85,HCFC-22+hv->Products,2.70007492969052e-09
86,CF3CHCl2+hv->Products,1.0282677801510734e-06
87,CF3CHFCl+hv->Products,1.0317892091965956e-08
88,HCFC-141b+hv->Products,1.7249571195554088e-06
89,HCFC-142b+hv->Products,1.0775411389516732e-08
90,HCFC-225ca+hv->Products,2.113405193469794e-06
91,HCFC-225cb+hv->Products,7.628957539666211e-08
92,C(CH3)3(ONO2)+hv->C(CH3)(O.)+NO2,3.981659115370759e-05
93,C(CH3)3(ONO)+hv->C(CH3)3(O)+NO,0.0037499051764779833
94,PAN+hv->CH3CO(OO)+NO2,6.333014455186377e-05
95,PAN+hv->CH3CO(O)+NO3,2.714149052222734e-05
96,PPN+hv->CH3CH2CO(OO)+NO2,3.36384937370761e-05
97,PPN+hv->CH3CH2CO(O)+NO3,2.1506577963048647e-05
98,CH2=C(CH3)CHO+hv->Products,8.115573165241756e-06
99,MVK+hv->Products,5.1934239746135956e-05
100,HOCH2CHO+hv->CH2OH+HCO,7.26670643113931e-05
101,HOCH2CHO+hv->CH3OH+CO,8.755067989324469e-06
102,HOCH2CHO+hv->CH2CHO+OH,6.128547592527129e-06
103,CH2(OH)COCH3+hv->CH3CO+CH2(OH),9.816784909773572e-06
104,CH2(OH)COCH3+hv->CH2(OH)CO+CH3,9.816784909773572e-06
105,CHOCHO+hv->HCO+HCO,0.00011366877971280366
106,CHOCHO+hv->H2+CO+CO,4.900499246557567e-05
107,CHOCHO+hv->CH2O+CO,7.491175777954947e-05
108,CH3COCHO+hv->CH3CO+HCO,0.0013066978570441526
109,CH3COCOCH3+hv->Products,0.00035164317658176067
110,CH3COOH+hv->CH3+COOH,3.0808583514785798e-06
111,CH3COOOH+hv->Products,1.5514371546005822e-05
112,CH3COCOOH+hv->Products,0.0005448983550276296
113,CH3CH3NNO+hv->Products,0.0032983556237276353
114,CF2O+hv->Products,1.9173459653431757e-07
