index,Variable,Value
0,altitude,50.0
1,wavelength,120.7
2,time,12.0
3,solar zenith angle,45.0
4,Earth-Sun distance,0.9961174644385148
5,temperature,270.65
6,O2+hv->O+O,7.977253057113038e-10
7,HNO4+hv->HO2+NO2,0.0004282174087725569
8,O3+hv->O2+O(1D),0.0063116243315404115
9,O3+hv->O2+O(3P),0.0012010426659951883
10,NO3-(aq)+hv->NO2(aq)+O-,4.887176430096102e-07
11,NO3-(aq)+hv->NO2-(aq)+O(3P),1.04259283921548e-07
12,NOCl+hv->NO+Cl,0.006375337731420786
13,CH3Cl+hv->Products,3.400407140285526e-07
14,CH3CCl3+hv->Products,1.7231710050848757e-05
15,CCl2O+hv->Products,1.6239233084752025e-05
16,CClFO+hv->Products,6.828115440845622e-06
17,CH3OOH+hv->CH3O+OH,5.140387085632157e-05
18,HOCH2OOH+hv->CH2(OH)O+OH,4.917588590900057e-05
19,HO2+hv->OH+O,0.000304501318255551
20,H2O2+hv->OH+OH,9.235483608213961e-05
21,NO3+hv->NO+O2,0.02435013699257309
22,NO3+hv->NO2+O(3P),0.19534759079769964
23,HNO3+hv->OH+NO2,0.00011352115136449796
24,N2O+hv->N2+O(1D),6.166828715807824e-07
25,N2O5+hv->NO2+NO3,0.0005825384129128548
26,NO2+hv->NO+O(3P),0.012608138494376211
27,C2H5CHO+hv->C2H5+HCO,0.00015632933613614008
28,CH2CHCHO+hv->Products,6.16797462171237e-05
29,CH3CHO+hv->CH3+HCO,0.0001543467452264941
30,CH2O+hv->H+HCO,9.956621313497002e-05
31,CH2O+hv->H2+CO,0.00012167102960308136
32,CH3COCH2CH3+hv->CH3CO+CH2CH3,0.00012470169610367658
33,HNO2+hv->OH+NO,0.0023733279976336846
34,CHBr3+hv->Products,0.001142502422055539
35,CF2Br2+hv->Products,0.00041178801095902
36,CF2BrCl+hv->Products,0.00011968299223618724
37,CF3Br+hv->Products,1.0248397645350184e-05
38,CF2BrCF2Br+hv->Products,0.0001025543329734424
39,I2+hv->I+I,0.1298106407334661
40,IO+hv->I+O,0.23424855710832246
41,IOH+hv->I+OH,0.0112581140126098
42,perfluoro-1-iodopropane+hv->Products,0.001147603024489037
43,CH3OCl+hv->CH3O+Cl,0.0001951455573799798
44,CHCl3+hv->Products,7.686045566293766e-06
45,Cl2+hv->Cl+Cl,0.0035846959657137656
46,CCl4+hv->Products,2.9450734213065116e-05
47,ClO+hv->Cl+O(1D),0.0007659397923646061
48,ClO+hv->Cl+O(3P),0.003971220884434593
49,ClOO+hv->Products,0.007275364475194105
50,ClOOCl+hv->Cl+ClOO,0.0068197964597486605
51,HCl+hv->H+Cl,4.99242771361378e-07
52,HOCl+hv->HO+Cl,0.0005971466683427482
53,ClNO2+hv->Cl+NO2,0.001745073954955958
54,ClONO+hv->Cl+NO2,0.009698985417377771
55,ClONO2+hv->Cl+NO3,0.0004464672397055355
56,ClONO2+hv->ClO+NO2,0.0002732841427157494
57,OClO+hv->Products,0.11407525070949258
58,Br2+hv->Br+Br,0.03769283363923627
59,BrO+hv->Br+O,0.05805806493624964
60,HOBr+hv->OH+Br,0.0034750650742007495
61,BrNO+hv->Br+NO,0.03565663759092587
62,BrONO+hv->Br+NO2,0.02333099789627352
63,BrONO+hv->BrO+NO,0.02333099789627352
64,BrNO2+hv->Br+NO2,0.009548953518778677
65,BrONO2+hv->BrO+NO2,0.0004450746413298302
66,BrONO2+hv->Br+NO3,0.00252208963420237
67,BrCl+hv->Br+Cl,0.013373845814994829
68,CH3Br+hv->Products,5.4659040385920275e-05
69,CH3ONO2+hv->CH3O+NO2,0.00026957910147441463
